# NYX RESEARCH — PHYSICAL ACCESS CONTROL SYSTEM
# System   : Lenel OnGuard 7.6 (legacy deployment)
# Timezone : UTC-5 (US/Eastern — system clock never migrated, see facilities note FAC-2019-0044)
# Coverage : Sub-level 2 — all entry/exit points and internal doors
# Export   : 2026-01-19 02:00:11 -0500
# Requested: IR Team — Case NRC-2026-0219
# Filter   : 2026-01-18 all day through 2026-01-19 02:00 -0500
# -------------------------------------------------------
# FIELD ORDER: timestamp | badge_id | event | location | door_id | result | note
# -------------------------------------------------------

2026-01-18 14:51:04 -0500 | NR-2018-0008 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | standard shift entry
2026-01-18 15:02:19 -0500 | NR-2021-0093 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 15:47:33 -0500 | NR-2020-0034 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 15:47:33 -0500 | NR-2020-0034 | ENTRY  | Sub-level 2 east wing      | D2-E1  | ACCESS GRANTED | —
2026-01-18 16:11:07 -0500 | NR-2021-0093 | EXIT   | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 16:22:51 -0500 | NR-2019-0012 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 16:44:09 -0500 | NR-2020-0034 | EXIT   | Sub-level 2 east wing      | D2-E1  | ACCESS GRANTED | —
2026-01-18 17:00:00 -0500 | NR-2018-0008 | ACCESS | Sub-level 2 restricted zone| D2-R1  | ACCESS GRANTED | tier 3 verified
2026-01-18 17:22:18 -0500 | NR-2019-0012 | EXIT   | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 17:55:44 -0500 | NR-2019-0012 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 18:01:33 -0500 | NR-2021-0014 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 18:14:09 -0500 | NR-2021-0014 | EXIT   | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 18:20:00 -0500 | NR-2019-0012 | EXIT   | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 18:52:19 -0500 | NR-2018-0008 | ACCESS | Sub-level 2 terminal area  | D2-T   | ACCESS GRANTED | —
2026-01-18 14:51:04 -0500 | NR-2018-0008 | — [LENEL DIAGNOSTIC — DUPLICATE SUPPRESSED] — | — | — | —
2026-01-18 19:02:09 -0500 | NR-2021-0093 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | returned after break
2026-01-18 19:14:12 -0500 | NR-2020-0034 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 19:37:19 -0500 | NR-2020-0034 | EXIT   | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 20:14:09 -0500 | NR-2020-0034 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 20:17:51 -0500 | NR-2021-0093 | EXIT   | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 20:52:19 -0500 | NR-2018-0008 | ACCESS | Sub-level 2 terminal area  | D2-T   | ACCESS GRANTED | —
2026-01-18 20:52:19 -0500 | NR-2018-0008 | ACCESS | Sub-level 2 restricted zone| D2-R1  | ACCESS GRANTED | tier 3 verified
2026-01-18 20:57:14 -0500 | NR-2020-0034 | EXIT   | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 21:02:09 -0500 | NR-2020-0034 | ENTRY  | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
2026-01-18 21:52:14 -0500 | NR-2020-0034 | EXIT   | Sub-level 2 main corridor  | D2-W   | ACCESS GRANTED | —
